"","lemma","Total","one_sg","pctA","two_sg","pctB","three_sg","pctC","one_pl","pctD","two_pl","pctE","three_pl","pctF","other","pct_other"
"6","abeo1",20,1,0.05,0,0,12,0.6,0,0,1,0.05,2,0.1,1,1
"30","absum",11,0,0,1,0.0909090909090909,6,0.545454545454545,0,0,0,0,1,0.0909090909090909,0,0
"31","absum1",10,0,0,0,0,4,0.4,0,0,0,0,1,0.1,1,1
"39","accedo1",14,1,0.0714285714285714,1,0.0714285714285714,5,0.357142857142857,1,0.0714285714285714,0,0,2,0.142857142857143,0,0
"41","accendo2",10,0,0,0,0,5,0.5,0,0,0,0,1,0.1,1,1
"46","accipio",25,3,0.12,2,0.08,7,0.28,1,0.04,1,0.04,4,0.16,0,0
"47","accipio1",58,7,0.120689655172414,6,0.103448275862069,23,0.396551724137931,1,0.0172413793103448,1,0.0172413793103448,7,0.120689655172414,1,1
"65","adduco1",14,2,0.142857142857143,0,0,2,0.142857142857143,0,0,0,0,0,0,0,0
"67","adeo1",18,1,0.0555555555555556,0,0,8,0.444444444444444,0,0,0,0,3,0.166666666666667,1,1
"88","administro",10,1,0.1,0,0,4,0.4,0,0,0,0,0,0,1,1
"106","adoro1",26,3,0.115384615384615,2,0.0769230769230769,1,0.0384615384615385,0,0,1,0.0384615384615385,17,0.653846153846154,0,0
"126","adverto",10,0,0,0,0,1,0.1,0,0,0,0,0,0,1,1
"141","affero1",39,2,0.0512820512820513,1,0.0256410256410256,8,0.205128205128205,0,0,0,0,5,0.128205128205128,0,0
"160","agito1",18,1,0.0555555555555556,0,0,3,0.166666666666667,1,0.0555555555555556,0,0,3,0.166666666666667,0,0
"163","ago",37,4,0.108108108108108,6,0.162162162162162,9,0.243243243243243,0,0,0,0,3,0.0810810810810811,0,0
"164","ago1",55,7,0.127272727272727,9,0.163636363636364,14,0.254545454545455,2,0.0363636363636364,2,0.0363636363636364,8,0.145454545454545,0,0
"165","aio",13,0,0,0,0,13,1,0,0,0,0,0,0,0,0
"166","aio1",27,0,0,0,0,21,0.777777777777778,0,0,0,0,6,0.222222222222222,0,0
"188","amitto1",10,0,0,0,0,2,0.2,1,0.1,1,0.1,0,0,1,1
"189","amo",13,0,0,0,0,0,0,0,0,0,0,3,0.230769230769231,1,1
"190","amo1",26,2,0.0769230769230769,1,0.0384615384615385,10,0.384615384615385,0,0,0,0,0,0,1,1
"209","aperio1",40,2,0.05,0,0,19,0.475,0,0,1,0.025,1,0.025,1,1
"215","appello",14,0,0,0,0,5,0.357142857142857,0,0,0,0,1,0.0714285714285714,1,1
"216","appello1",15,1,0.0666666666666667,0,0,9,0.6,0,0,0,0,1,0.0666666666666667,0,0
"233","ardeo1",17,0,0,0,0,1,0.0588235294117647,0,0,0,0,2,0.117647058823529,0,0
"245","ascendo1",16,0,0,2,0.125,5,0.3125,0,0,1,0.0625,2,0.125,1,1
"293","audeo1",10,1,0.1,1,0.1,1,0.1,0,0,0,0,1,0.1,0,0
"295","audio1",69,33,0.478260869565217,2,0.0289855072463768,16,0.231884057971014,1,0.0144927536231884,3,0.0434782608695652,2,0.0289855072463768,0,0
"316","bibo1",13,0,0,1,0.0769230769230769,3,0.230769230769231,1,0.0769230769230769,0,0,3,0.230769230769231,0,0
"320","cado1",32,3,0.09375,1,0.03125,10,0.3125,0,0,1,0.03125,15,0.46875,0,0
"333","cano1",19,0,0,2,0.105263157894737,10,0.526315789473684,0,0,0,0,2,0.105263157894737,0,0
"334","canto1",14,0,0,0,0,5,0.357142857142857,0,0,0,0,4,0.285714285714286,1,1
"339","capio1",42,1,0.0238095238095238,1,0.0238095238095238,12,0.285714285714286,0,0,1,0.0238095238095238,7,0.166666666666667,0,0
"349","caveo1",10,0,0,6,0.6,1,0.1,0,0,1,0.1,0,0,0,0
"351","cedo1",24,2,0.0833333333333333,2,0.0833333333333333,2,0.0833333333333333,1,0.0416666666666667,0,0,6,0.25,1,1
"357","ceno1",11,2,0.181818181818182,1,0.0909090909090909,1,0.0909090909090909,2,0.181818181818182,0,0,1,0.0909090909090909,0,0
"358","censeo1",17,4,0.235294117647059,0,0,7,0.411764705882353,0,0,0,0,1,0.0588235294117647,0,0
"359","cerno1",19,1,0.0526315789473684,3,0.157894736842105,10,0.526315789473684,0,0,0,0,3,0.157894736842105,1,1
"360","certo2",10,0,0,0,0,2,0.2,1,0.1,0,0,5,0.5,1,1
"373","circumfero1",11,0,0,0,0,5,0.454545454545455,0,0,0,0,0,0,1,1
"384","clamo1",20,1,0.05,1,0.05,10,0.5,1,0.05,0,0,5,0.25,0,0
"386","claudo1",20,0,0,0,0,6,0.3,0,0,0,0,3,0.15,0,0
"399","coepio",21,1,0.0476190476190476,0,0,13,0.619047619047619,1,0.0476190476190476,0,0,4,0.19047619047619,0,0
"400","coepio1",65,9,0.138461538461538,1,0.0153846153846154,31,0.476923076923077,3,0.0461538461538462,0,0,17,0.261538461538462,0,0
"405","cogito1",11,0,0,4,0.363636363636364,2,0.181818181818182,0,0,0,0,3,0.272727272727273,0,0
"407","cognosco",12,1,0.0833333333333333,1,0.0833333333333333,2,0.166666666666667,0,0,0,0,0,0,1,1
"408","cognosco1",27,3,0.111111111111111,3,0.111111111111111,5,0.185185185185185,0,0,0,0,5,0.185185185185185,0,0
"409","cogo",11,3,0.272727272727273,0,0,6,0.545454545454545,0,0,0,0,1,0.0909090909090909,0,0
"410","cogo1",15,5,0.333333333333333,2,0.133333333333333,3,0.2,1,0.0666666666666667,0,0,0,0,1,1
"423","colo1",11,0,0,0,0,4,0.363636363636364,0,0,0,0,1,0.0909090909090909,1,1
"508","confero",11,0,0,0,0,4,0.363636363636364,0,0,0,0,1,0.0909090909090909,1,1
"539","conicio1",12,1,0.0833333333333333,1,0.0833333333333333,4,0.333333333333333,2,0.166666666666667,0,0,1,0.0833333333333333,1,1
"551","conor",10,1,0.1,1,0.1,0,0,0,0,0,0,0,0,1,1
"568","conscribo1",14,0,0,0,0,2,0.142857142857143,0,0,0,0,0,0,0,0
"593","constituo",13,0,0,0,0,3,0.230769230769231,0,0,0,0,0,0,1,1
"596","consto1",10,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"601","consulo1",12,0,0,2,0.166666666666667,0,0,0,0,2,0.166666666666667,1,0.0833333333333333,0,0
"613","contendo1",10,0,0,2,0.2,3,0.3,0,0,0,0,3,0.3,0,0
"619","contineo",17,0,0,0,0,6,0.352941176470588,0,0,0,0,2,0.117647058823529,1,1
"620","contineo1",14,1,0.0714285714285714,1,0.0714285714285714,1,0.0714285714285714,1,0.0714285714285714,0,0,1,0.0714285714285714,0,0
"621","contingo1",16,0,0,0,0,10,0.625,0,0,0,0,1,0.0625,0,0
"633","convenio1",11,0,0,0,0,2,0.181818181818182,0,0,0,0,5,0.454545454545455,1,1
"635","converto1",13,0,0,1,0.0769230769230769,5,0.384615384615385,0,0,1,0.0769230769230769,0,0,0,0
"653","credo",18,2,0.111111111111111,1,0.0555555555555556,2,0.111111111111111,1,0.0555555555555556,0,0,2,0.111111111111111,1,1
"654","credo1",44,6,0.136363636363636,7,0.159090909090909,9,0.204545454545455,1,0.0227272727272727,6,0.136363636363636,6,0.136363636363636,0,0
"660","cresco1",15,2,0.133333333333333,0,0,8,0.533333333333333,0,0,0,0,2,0.133333333333333,0,0
"673","cupio1",14,3,0.214285714285714,3,0.214285714285714,3,0.214285714285714,0,0,0,0,0,0,0,0
"675","curo1",19,9,0.473684210526316,0,0,4,0.210526315789474,0,0,0,0,1,0.0526315789473684,0,0
"677","curro1",12,0,0,3,0.25,4,0.333333333333333,0,0,0,0,2,0.166666666666667,1,1
"685","debeo",17,0,0,1,0.0588235294117647,6,0.352941176470588,0,0,0,0,3,0.176470588235294,1,1
"686","debeo1",22,3,0.136363636363636,3,0.136363636363636,10,0.454545454545455,1,0.0454545454545455,0,0,0,0,0,0
"690","decerno",14,0,0,1,0.0714285714285714,5,0.357142857142857,0,0,0,0,1,0.0714285714285714,0,0
"691","decerno1",17,2,0.117647058823529,0,0,6,0.352941176470588,0,0,1,0.0588235294117647,3,0.176470588235294,0,0
"709","dedo1",17,0,0,0,0,13,0.764705882352941,0,0,0,0,2,0.117647058823529,0,0
"710","deduco",14,3,0.214285714285714,0,0,3,0.214285714285714,0,0,0,0,2,0.142857142857143,1,1
"711","deduco1",12,2,0.166666666666667,0,0,4,0.333333333333333,0,0,1,0.0833333333333333,1,0.0833333333333333,0,0
"714","defendo1",10,1,0.1,2,0.2,2,0.2,0,0,0,0,2,0.2,0,0
"715","defero",10,2,0.2,0,0,0,0,0,0,0,0,1,0.1,1,1
"719","deficio1",10,0,0,2,0.2,3,0.3,0,0,0,0,2,0.2,0,0
"787","descendo1",12,0,0,0,0,5,0.416666666666667,1,0.0833333333333333,0,0,0,0,0,0
"790","desero2",17,1,0.0588235294117647,1,0.0588235294117647,3,0.176470588235294,0,0,0,0,1,0.0588235294117647,1,1
"806","destino",12,0,0,0,0,3,0.25,0,0,0,0,4,0.333333333333333,1,1
"812","desum",12,0,0,0,0,5,0.416666666666667,0,0,0,0,6,0.5,0,0
"833","dico2",320,32,0.1,15,0.046875,116,0.3625,5,0.015625,3,0.009375,32,0.1,0,0
"848","dimitto1",11,0,0,0,0,5,0.454545454545455,0,0,2,0.181818181818182,1,0.0909090909090909,0,0
"856","discedo1",12,0,0,1,0.0833333333333333,7,0.583333333333333,0,0,1,0.0833333333333333,2,0.166666666666667,0,0
"862","disco1",14,3,0.214285714285714,2,0.142857142857143,4,0.285714285714286,1,0.0714285714285714,0,0,2,0.142857142857143,0,0
"903","do",71,11,0.154929577464789,2,0.028169014084507,25,0.352112676056338,0,0,0,0,5,0.0704225352112676,1,1
"904","do1",137,24,0.175182481751825,8,0.0583941605839416,36,0.262773722627737,7,0.0510948905109489,3,0.0218978102189781,14,0.102189781021898,0,0
"906","doceo1",19,1,0.0526315789473684,1,0.0526315789473684,9,0.473684210526316,0,0,0,0,0,0,0,0
"914","dono",12,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0
"920","dubito1",10,0,0,3,0.3,2,0.2,0,0,1,0.1,0,0,1,1
"921","duco",10,0,0,0,0,0,0,0,0,1,0.1,0,0,1,1
"922","duco1",32,2,0.0625,3,0.09375,11,0.34375,0,0,0,0,2,0.0625,0,0
"933","edo2",17,1,0.0588235294117647,1,0.0588235294117647,10,0.588235294117647,0,0,0,0,1,0.0588235294117647,0,0
"935","educo1",10,0,0,3,0.3,5,0.5,0,0,1,0.1,0,0,0,0
"952","effundo1",21,0,0,0,0,9,0.428571428571429,0,0,2,0.0952380952380952,1,0.0476190476190476,1,1
"980","emo1",21,8,0.380952380952381,1,0.0476190476190476,3,0.142857142857143,0,0,0,0,3,0.142857142857143,0,0
"992","eo1",54,0,0,5,0.0925925925925926,14,0.259259259259259,1,0.0185185185185185,1,0.0185185185185185,6,0.111111111111111,1,1
"1000","eripio1",16,1,0.0625,2,0.125,2,0.125,0,0,0,0,3,0.1875,0,0
"1001","erro1",12,0,0,2,0.166666666666667,2,0.166666666666667,0,0,0,0,3,0.25,0,0
"1046","excipio1",10,1,0.1,0,0,4,0.4,1,0.1,0,0,1,0.1,1,1
"1059","exeo1",31,0,0,3,0.0967741935483871,14,0.451612903225806,2,0.0645161290322581,0,0,7,0.225806451612903,1,1
"1061","exerceo1",13,0,0,0,0,8,0.615384615384615,0,0,0,0,3,0.230769230769231,0,0
"1074","existimo1",18,2,0.111111111111111,1,0.0555555555555556,1,0.0555555555555556,0,0,0,0,7,0.388888888888889,0,0
"1127","exspecto1",13,1,0.0769230769230769,4,0.307692307692308,0,0,0,0,0,0,5,0.384615384615385,0,0
"1161","facio",93,14,0.150537634408602,5,0.0537634408602151,24,0.258064516129032,1,0.010752688172043,1,0.010752688172043,3,0.032258064516129,1,1
"1162","facio1",251,19,0.0756972111553785,12,0.047808764940239,65,0.258964143426295,4,0.0159362549800797,5,0.0199203187250996,30,0.119521912350598,0,0
"1164","fallo",14,1,0.0714285714285714,1,0.0714285714285714,2,0.142857142857143,0,0,0,0,0,0,1,1
"1165","fallo1",12,2,0.166666666666667,0,0,5,0.416666666666667,0,0,0,0,1,0.0833333333333333,0,0
"1177","fero",34,3,0.0882352941176471,1,0.0294117647058824,13,0.382352941176471,0,0,0,0,4,0.117647058823529,1,1
"1178","fero1",52,8,0.153846153846154,4,0.0769230769230769,15,0.288461538461538,0,0,2,0.0384615384615385,9,0.173076923076923,0,0
"1192","fio",11,1,0.0909090909090909,1,0.0909090909090909,4,0.363636363636364,0,0,0,0,1,0.0909090909090909,0,0
"1193","fio1",53,1,0.0188679245283019,1,0.0188679245283019,25,0.471698113207547,1,0.0188679245283019,0,0,2,0.0377358490566038,1,1
"1201","fleo1",21,1,0.0476190476190476,2,0.0952380952380952,4,0.19047619047619,0,0,0,0,4,0.19047619047619,1,1
"1231","fugio",10,2,0.2,0,0,0,0,0,0,0,0,2,0.2,1,1
"1232","fugio1",28,1,0.0357142857142857,4,0.142857142857143,15,0.535714285714286,1,0.0357142857142857,0,0,3,0.107142857142857,0,0
"1251","gero1",44,4,0.0909090909090909,2,0.0454545454545455,17,0.386363636363636,2,0.0454545454545455,0,0,3,0.0681818181818182,0,0
"1265","habeo",49,4,0.0816326530612245,3,0.0612244897959184,23,0.469387755102041,1,0.0204081632653061,0,0,5,0.102040816326531,1,1
"1266","habeo1",305,28,0.0918032786885246,19,0.0622950819672131,118,0.386885245901639,18,0.059016393442623,7,0.0229508196721311,48,0.157377049180328,0,0
"1268","habito1",20,0,0,1,0.05,5,0.25,1,0.05,1,0.05,4,0.2,1,1
"1283","hortor1",10,0,0,1,0.1,2,0.2,0,0,0,0,2,0.2,1,1
"1318","impero1",10,0,0,1,0.1,7,0.7,0,0,0,0,1,0.1,0,0
"1330","impono1",11,0,0,0,0,7,0.636363636363636,0,0,0,0,0,0,1,1
"1439","inquam",72,0,0,1,0.0138888888888889,71,0.986111111111111,0,0,0,0,0,0,0,0
"1440","inquam1",94,4,0.0425531914893617,1,0.0106382978723404,89,0.946808510638298,0,0,0,0,0,0,0,0
"1476","intellego1",19,7,0.368421052631579,3,0.157894736842105,3,0.157894736842105,0,0,2,0.105263157894737,1,0.0526315789473684,1,1
"1487","interficio",17,0,0,0,0,2,0.117647058823529,0,0,0,0,1,0.0588235294117647,1,1
"1488","interficio1",17,1,0.0588235294117647,1,0.0588235294117647,2,0.117647058823529,0,0,0,0,2,0.117647058823529,0,0
"1510","intro2",27,2,0.0740740740740741,0,0,10,0.37037037037037,2,0.0740740740740741,0,0,6,0.222222222222222,0,0
"1526","invenio",12,2,0.166666666666667,0,0,6,0.5,0,0,0,0,0,0,1,1
"1527","invenio1",33,5,0.151515151515152,3,0.0909090909090909,8,0.242424242424242,2,0.0606060606060606,0,0,4,0.121212121212121,0,0
"1541","irascor1",11,0,0,0,0,1,0.0909090909090909,0,0,0,0,0,0,1,1
"1550","jaceo1",18,0,0,3,0.166666666666667,8,0.444444444444444,0,0,0,0,3,0.166666666666667,1,1
"1558","jubeo",24,2,0.0833333333333333,0,0,14,0.583333333333333,0,0,0,0,1,0.0416666666666667,0,0
"1559","jubeo1",65,9,0.138461538461538,1,0.0153846153846154,41,0.630769230769231,3,0.0461538461538462,0,0,3,0.0461538461538462,0,0
"1562","judico1",17,2,0.117647058823529,3,0.176470588235294,8,0.470588235294118,0,0,0,0,0,0,0,0
"1567","juro1",12,2,0.166666666666667,1,0.0833333333333333,2,0.166666666666667,1,0.0833333333333333,0,0,0,0,1,1
"1572","labor1",15,0,0,0,0,0,0,0,0,0,0,1,0.0666666666666667,1,1
"1580","laedo1",11,1,0.0909090909090909,1,0.0909090909090909,3,0.272727272727273,0,0,0,0,1,0.0909090909090909,1,1
"1597","laudo",11,1,0.0909090909090909,2,0.181818181818182,2,0.181818181818182,0,0,0,0,0,0,1,1
"1598","laudo1",16,1,0.0625,0,0,5,0.3125,3,0.1875,0,0,3,0.1875,0,0
"1600","lavo1",12,1,0.0833333333333333,0,0,3,0.25,0,0,0,0,4,0.333333333333333,0,0
"1603","lego2",32,2,0.0625,4,0.125,9,0.28125,0,0,0,0,2,0.0625,0,0
"1615","licet1",19,0,0,0,0,19,1,0,0,0,0,0,0,0,0
"1626","loquor",34,3,0.0882352941176471,0,0,8,0.235294117647059,2,0.0588235294117647,0,0,5,0.147058823529412,0,0
